impact_rank,area_name,police_station,congestion_pcu_hrs_day,econ_loss_week_inr,tier,officers,shift,barricade,priority,weekly_saving_inr
181,"Mumbai Bengaluru Highway,  Hesaragatta Cross Junction",Peenya,0.41,244.0,Routine,1,04:00 - 09:00,NO,MONITOR ONLY,244
182,"Siddhapura Road,  B Venkata Reddy Nagar",Wilson Garden,0.41,244.0,Moderate,2,00:00 - 05:00,NO,MONITOR ONLY,244
183,"Outer Ring Road,  Sterling Ascentia",HAL Old Airport,0.41,244.0,Routine,1,05:00 - 10:00,NO,MONITOR ONLY,244
184,"Rajgopal Nagar Main Road,  M Ramaiah Layout",Peenya,0.41,244.0,Routine,1,00:00 - 05:00,NO,MONITOR ONLY,244
185,"Ali Asker Road,  Embassy Apartment",Cubbon Park,0.41,244.0,Moderate,2,05:00 - 10:00,NO,MONITOR ONLY,244
186,"Soniya Gandhi Road,  Gangamma Circle",Jalahalli,0.4,238.0,Routine,1,09:00 - 14:00,NO,MONITOR ONLY,238
187,"D Souza Marg,  Purva Premiere",Ashok Nagar,0.4,238.0,Moderate,2,06:00 - 11:00,NO,MONITOR ONLY,238
188,"Hosur Road,  Zed Enclave",Electronic City,0.39,232.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,232
189,"Hosur Road,  Ramaiah Reddy Layout",Electronic City,0.39,232.0,Routine,1,00:00 - 05:00,NO,MONITOR ONLY,232
190,"Hosur Road,  HAL Layout",Hulimavu,0.38,226.0,Routine,1,00:00 - 05:00,NO,MONITOR ONLY,226
